Time,Amplitude
0,-0.00554803526070886
0.0001,0.0310367763485841
0.0002,-0.072437570766961
0.0003,0.335897000371131
0.0004,0.0494565978141556
0.0005,-0.00968278649740738
0.0006,-0.181548132285256
0.0007,-0.100081432841361
0.0008,-0.126418838154345
0.0009,-0.0378948596811845
0.001,-0.0592740503240076
0.0011,-0.0358258835583953
0.0012,-0.0288244785492247
0.0013,-0.00789167423115772
0.0014,-0.0112036314069893
0.0015,-0.0266952897712603
0.0016,-0.020530554761008
0.0017,-0.00523990643829361
0.0018,-0.00187344088038565
0.0019,0.0374578587488741
0.002,-0.0449600721740444
0.0021,0.0490639041012368
0.0022,0.224776848091333
0.0023,0.0291381615590941
0.0024,-0.0578474317525145
0.0025,-0.116989780189863
0.0026,-0.0867978158677198
0.0027,-0.0843629089403014
0.0028,-0.0202320397797179
0.0029,-0.0639915413749776
0.003,-0.0223751566390781
0.0031,-0.036682376601323
0.0032,-0.0208164911624412
0.0033,-0.0331871314928067
0.0034,-0.0182185358382615
0.0035,-0.00504098363432388
0.0036,-0.0194968484045452
0.0037,-0.00885624263981697
0.0038,-0.00443252214207409
0.0039,0.00727052013200949
0.004,0.0123147459240477
0.0041,0.0151810284766648
0.0042,0.00941610509772671
0.0043,0.0249102159747167
0.0044,0.0135295986228545
0.0045,0.00768760868447077
0.0046,0.0126160895237463
0.0047,0.0169132303197949
0.0048,0.00630595250034064
0.0049,0.0203930163554391
0.005,0.0185826806832322
0.0051,0.0102417196560489
0.0052,0.0107790303964007
0.0053,0.0217005628252928
0.0054,0.00435398255692406
0.0055,0.0114873203272062
0.0056,0.0126857776350308
0.0057,0.0188621265210949
0.0058,0.0150677174858179
0.0059,0.018794406518679
0.006,0.0146876901793883
0.0061,0.0122196736692322
0.0062,0.00997541731173846
0.0063,0.0118495921024576
0.0064,0.00524631039356863
0.0065,0.0021180931592775
0.0066,0.0148881033421015
0.0067,0.0111556877928693
0.0068,0.0191297747779364
0.0069,0.0141884520858508
0.007,0.0048485906693263
0.0071,0.00628844467329109
0.0072,0.00735082553633751
0.0073,-0.00194040466533456
0.0074,-0.000432901571465429
0.0075,0.00114930227416153
0.0076,0.00629425019351613
0.0077,0.00813349971052857
0.0078,0.00914311359038801
0.0079,0.000940097114688519
0.008,0.00668696714565409
0.0081,-0.0078017718890825
0.0082,0.00019929144950313
0.0083,0.00537983629669393
0.0084,0.00687829569245584
0.0085,3.64241245182883e-05
0.0086,0.00731737975193909
0.0087,0.00862247966626893
0.0088,0.00631647505858936
0.0089,0.00671649120664638
0.009,0.00578606077976662
0.0091,0.00760122160151097
0.0092,-0.000530623001570876
0.0093,0.00539540689291708
0.0094,-0.000582215867772056
0.0095,0.000976351052116671
0.0096,0.00419477083488553
0.0097,0.000448035639421566
0.0098,-0.00164334465520386
0.0099,-0.000883303630027694
0.01,-0.00324790321008534
0.0101,-0.00754656148609056
0.0102,0.00453401161815824
0.0103,-0.00616505010676515
0.0104,0.0027376722791246
0.0105,-0.00591358484178172
0.0106,-0.00296611460947437
0.0107,-0.00568640871295246
0.0108,0.00760438990532495
0.0109,-0.0109960391851781
0.011,-0.0106883526362366
0.0111,-0.0131674009512435
0.0112,-0.00458925034034811
0.0113,-0.0145443672522185
0.0114,-0.00842976957738635
0.0115,-0.00384324304735728
0.0116,0.00144212157003881
0.0117,-0.00641949221829072
0.0118,-0.00677726657539243
0.0119,0.00378500191580749
0.012,0.00163290770091381
0.0121,0.0021402887048843
0.0122,0.0011383112988044
0.0123,0.0102154351641233
0.0124,-0.00212869993609518
0.0125,-0.00973450343212846
0.0126,-0.00613921358919865
0.0127,-0.000870830973373776
0.0128,-0.0162424124837424
0.0129,-0.0120978404786915
0.013,-0.00164695992420932
0.0131,0.00251981223512472
0.0132,0.00178607286484888
0.0133,0.00395676516218432
0.0134,0.000212837515125309
0.0135,-0.00259283734196473
0.0136,0.00460841663961795
0.0137,0.00109058018091732
0.0138,0.00489443158597754
0.0139,-0.000393289714272879
0.014,0.00227193749706202
0.0141,0.00207559988366011
0.0142,0.000401075317044165
0.0143,-0.00340804122034337
0.0144,-0.00239845726254793
0.0145,-9.98171384546756e-05
0.0146,-0.00200450985266777
0.0147,-0.00305779905959289
0.0148,-0.000616653991662191
0.0149,-0.00337570714425318
0.015,-0.000653857067061293
0.0151,-0.00111986195657539
0.0152,-0.000138287362828827
0.0153,-0.00227360736150675
0.0154,-0.000588886359800136
0.0155,-0.000270582693520991
0.0156,-0.00109252116957523
0.0157,0.00473106021140117
0.0158,-0.00520948537570016
0.0159,0.00269878849815017
0.016,0.000988109015678255
0.0161,0.00674200905188144
0.0162,0.00686714566063167
0.0163,0.00471296639100784
0.0164,0.00292563317670543
0.0165,-0.00243947423462378
0.0166,-0.00330387374421402
0.0167,-0.00651495749148712
0.0168,0.000992951699168603
0.0169,0.000862081866445077
0.017,0.00233751490580797
0.0171,-0.000248158947073563
0.0172,0.00121434389846749
0.0173,0.00201506400282597
0.0174,-0.00168499419608917
0.0175,0.00299654306095825
0.0176,-0.00143902695253394
0.0177,0.00100036378064275
0.0178,-0.00620465653612191
0.0179,-0.00753211900819918
0.018,-0.00598345003609106
0.0181,-0.0088119790005745
0.0182,-0.00340245658421304
0.0183,-0.00767203863677183
0.0184,0.00424474423238307
0.0185,0.00573622246194426
0.0186,0.00160445300666014
0.0187,-0.00493097020484732
0.0188,0.00961015343469077
0.0189,-0.00446881983141824
0.019,-0.00697562100913294
0.0191,0.00318788308811752
0.0192,-0.0101593454324446
0.0193,-0.0182575522430965
0.0194,-0.00653559504627012
0.0195,0.00508431832478397
0.0196,0.0020608315655926
0.0197,0.00854236938397854
0.0198,0.00214227324164429
0.0199,0.00936264516278239
0.02,0.00439213176872842
0.0201,0.00232642805832735
0.0202,-0.0120033827480158
0.0203,0.00316013433225975
0.0204,0.00533253744901358
0.0205,0.00688157177352145
0.0206,0.0144864897833241
0.0207,0.00710540844618206
0.0208,-0.00347753709521261
0.0209,-0.00562217179408533
0.021,-0.0024235729580943
0.0211,-0.00863611303233128
0.0212,0.00570401450209041
0.0213,-0.00081742561374369
0.0214,-0.000295559812042687
0.0215,0.00104112324987092
0.0216,0.00937327237206139
0.0217,-0.00402106066110802
0.0218,0.00531962405056458
0.0219,0.00261621337727126
0.022,0.000199125971120438
0.0221,-4.62239642154971e-05
0.0222,0.0029541226392761
0.0223,-0.00179899012854092
0.0224,-0.00411248609172194
0.0225,-0.0143970205421804
0.0226,-0.00201916540412624
0.0227,0.00489809255735685
0.0228,0.00258948829673461
0.0229,0.00286026044572745
0.023,0.00510806250082303
0.0231,0.00688393142999693
0.0232,0.00155196758856665
0.0233,0.00359123511053211
0.0234,-0.00268541065712214
0.0235,0.00364765642894082
0.0236,-0.000354542339287008
0.0237,0.00222391416063152
0.0238,0.00116628226213272
0.0239,0.00455148996093239
0.024,-0.00188448212913505
0.0241,0.00314433087825066
0.0242,-0.0110407861626225
0.0243,-0.00441068456030295
0.0244,-0.000784893939240868
0.0245,0.0017989737747636
0.0246,-0.00401495717835767
0.0247,-0.00114967546065108
0.0248,-0.00570287079052639
0.0249,-0.0100965158452004
0.025,-0.011511091642067
0.0251,0.00390643246058146
0.0252,0.0020590012370804
0.0253,0.00342931583976325
0.0254,0.00443237376736958
0.0255,0.00262504440898741
0.0256,0.000266479533190817
0.0257,-0.0095726609360706
0.0258,-0.000965626790172031
0.0259,0.00415947455952451
0.026,-0.000316605402317931
0.0261,-0.00235020937940589
0.0262,0.00367282513423827
0.0263,0.00371168124036019
0.0264,0.00380802244605929
0.0265,-0.00038726380002003
0.0266,-0.00893963070566844
0.0267,-0.00489169624037019
0.0268,0.00310613741689647
0.0269,0.0121676023706102
0.027,0.00545163014938391
0.0271,0.00273592428704856
0.0272,-0.00841604734281573
0.0273,-0.0121244145802294
0.0274,-0.00903937802152493
0.0275,0.0196390722908798
0.0276,0.0272745945370927
0.0277,0.00639003667550092
0.0278,-0.00910137453063686
0.0279,-0.00853157921148862
0.028,-0.00165481215437291
0.0281,-0.00289690476559879
0.0282,0.00554931409737625
0.0283,0.00822794957282344
0.0284,0.00957330674791931
0.0285,-0.0036076009641364
0.0286,-0.00332215499650964
0.0287,-0.0120023274578131
0.0288,-0.00232067304860159
0.0289,-0.0129838453250644
0.029,0.00636823602839267
0.0291,-0.00866091826888141
0.0292,-0.00801274304030366
0.0293,0.0343797923254242
0.0294,0.00386099751696319
0.0295,-0.00333072997709281
0.0296,-0.0105385815696743
0.0297,-0.0209595411680604
0.0298,-0.0328142566520402
0.0299,0.00997053238783476
0.03,0.0605009360234439
0.0301,-0.00231975120982638
0.0302,-0.0510845745512216
0.0303,-0.0416568320418156
0.0304,-0.0384873030015101
0.0305,-0.0346065336009632
0.0306,-0.0108937297230522
0.0307,0.0283849114646612
0.0308,0.00318973174522403
0.0309,0.0260218064603301
0.031,0.0188917328498275
0.0311,0.0252186912727244
0.0312,-0.00994531922191418
0.0313,-0.0111837167566043
0.0314,0.0220140711578219
0.0315,0.032514030893155
0.0316,0.0152018410829423
0.0317,0.00311811110299597
0.0318,-0.00832643114697197
0.0319,-0.00397696343561112
0.032,0.00505729349558944
0.0321,0.00569222017072603
0.0322,0.0183065421585089
0.0323,0.0155125350515573
0.0324,-0.0012397189697965
0.0325,0.0180575509605511
0.0326,-0.00716326436435376
0.0327,-0.0141197880488437
0.0328,-0.00850496491352632
0.0329,-0.00834491419775928
0.033,0.0162285778752989
0.0331,0.0284044681484747
0.0332,0.00429950489736097
0.0333,0.000383246464817931
0.0334,-0.00397113354981363
0.0335,-0.0118358701314511
0.0336,-0.00209959917510588
0.0337,-0.00512936206004126
0.0338,-0.00913253757137176
0.0339,0.00117721942968276
0.034,0.00829343702360104
0.0341,0.00381739908745234
0.0342,0.00541650620107072
0.0343,-0.00523473163616651
0.0344,-0.0039428931325767
0.0345,-0.00418156958142202
0.0346,0.00149728140473096
0.0347,0.0124375281931406
0.0348,0.012994611257574
0.0349,0.00499867789936355
0.035,-0.00158371823447804
0.0351,-0.011506695327769
0.0352,-0.013064472406792
0.0353,-0.00572097481995713
0.0354,0.00238333947686381
0.0355,-0.00221468116381962
0.0356,0.0210366604439518
0.0357,0.0225759634832867
0.0358,0.0163061125500887
0.0359,-0.00330770763218844
0.036,-8.87912329787979e-05
0.0361,-0.0147132365911834
0.0362,-0.0122119783178701
0.0363,-0.0211368401223232
0.0364,-0.00759679751072219
0.0365,-0.0148307191315322
0.0366,0.0039914875542317
0.0367,0.0112012909283194
0.0368,0.00512408811281012
0.0369,-0.0122411749944251
0.037,-0.0245763054119021
0.0371,-0.0259941163511594
0.0372,-0.00408249523614107
0.0373,-0.00621953199762192
0.0374,-0.00835642453459455
0.0375,-0.00397811560630523
0.0376,-0.000942924728932957
0.0377,0.000370122775543881
0.0378,-0.0235235771290734
0.0379,-0.0114362338056184
0.038,-0.00741499598519112
0.0381,0.0137129556523965
0.0382,0.00904265356205887
0.0383,0.0204901319672023
0.0384,0.0193645448573578
0.0385,0.00772085422522313
0.0386,0.00854165947962057
0.0387,0.00443127118819412
0.0388,-0.0224811494650041
0.0389,-0.0252685455257046
0.039,-0.0142771468244209
0.0391,-0.0188371939294818
0.0392,-0.0190466670251693
0.0393,0.0221364057209695
0.0394,-6.32547794349774e-05
0.0395,0.00620107584994616
0.0396,0.0103662083854603
0.0397,0.00266340016270754
0.0398,-0.0319844096830078
0.0399,-0.00283792042362325
0.04,0.00623905333796859
0.0401,-0.0188357159020737
0.0402,0.0110448175499362
0.0403,0.0118573444677242
0.0404,0.0138045928992785
0.0405,-0.00339399158965339
0.0406,-0.00170604362835306
0.0407,-0.00919963342403989
0.0408,0.0134712574741595
0.0409,0.0129346787649757
0.041,0.00199330526579692
0.0411,0.0126964944210042
0.0412,0.0207963680387268
0.0413,0.0224219466438727
0.0414,0.0064346670458871
0.0415,0.0127785475873577
0.0416,-0.00467280103516093
0.0417,-0.00341079576119115
0.0418,-0.00121046817124448
0.0419,0.00807208362543565
0.042,0.00970169868448642
0.0421,0.0243496368725924
0.0422,0.0148643890207244
0.0423,0.0052341535869847
0.0424,0.00159434242761739
0.0425,-0.0018473629367485
0.0426,-0.010359607108275
0.0427,0.00141174792911262
0.0428,0.000172537372159081
0.0429,-0.00529338968136891
0.043,0.00803444320934256
0.0431,0.0148320935271185
0.0432,0.00691689390802747
0.0433,-0.00583786591067629
0.0434,-0.0206031908176656
0.0435,-0.016421263151093
0.0436,0.00146853489320986
0.0437,0.0166204877809959
0.0438,0.0141932603804113
0.0439,0.00963015382080093
0.044,0.00655421929669757
0.0441,-0.0147913329153353
0.0442,-0.027225565616618
0.0443,-0.0254997938374677
0.0444,-0.0122021993063094
0.0445,-0.00718217112721045
0.0446,-0.00266947000358562
0.0447,-0.00540571951233716
0.0448,0.00416845938679167
0.0449,0.000299122718218218
0.045,0.00983443865320074
0.0451,-6.47183927847651e-05
0.0452,0.00561595350818081
0.0453,0.00831097023859947
0.0454,0.0142172030899367
0.0455,0.00294625632092488
0.0456,-0.0120515474085669
0.0457,-0.0121542102861765
0.0458,-0.00228889278499621
0.0459,0.00580383476674142
0.046,0.00201800570678467
0.0461,-0.000641102670263184
